datetime	value	long	lat	location
2015-10-29 00:00:00+00:00	0.85	-0.085814	51.495061	Bricklayers Arms, Borough
2015-10-29 00:00:00+00:00	0.85	-0.079248	51.524526	New Inn Yard, Shoreditch
2015-10-29 00:00:00+00:00	0.9	-0.022694	51.521564	Cantrell Road, Bow
2015-10-29 00:00:00+00:00	0.7	-0.067937	51.51793	Old Montague Street, Whitechapel
2015-10-29 00:00:00+00:00	0.95	-0.174347	51.476964	Battersea Church Road, Battersea
2015-10-29 00:00:00+00:00	0.8	-0.057133	51.527607	Hollybush Gardens, Bethnal Green
2015-10-29 00:00:00+00:00	0.75	-0.19096	51.51244	Ilchester Gardens, Bayswater
2015-10-29 00:00:00+00:00	0.8	-0.048017	51.531127	Old Ford Road, Bethnal Green
2015-10-29 00:00:00+00:00	0.95	-0.09294	51.51397	Cheapside, Bank
2015-10-29 00:00:00+00:00	0.95	-0.152248	51.467185	Ashley Crescent, Battersea
2015-10-29 00:00:00+00:00	0.75	-0.082422	51.516154	Wormwood Street, Liverpool Street
2015-10-29 00:00:00+00:00	0.85	-0.152317	51.499412	Belgrave Square, Belgravia
2015-10-29 00:00:00+00:00	1.0	-0.153194	51.501352	Grosvenor Crescent, Belgravia
2015-10-29 00:00:00+00:00	0.75	-0.21555	51.463211	Montserrat Road , Putney
2015-10-29 00:00:00+00:00	0.8	-0.116688	51.520596	Theobald's Road , Holborn
2015-10-29 00:00:00+00:00	0.85	-0.170279	51.506451	Triangle Car Park, Hyde Park
2015-10-29 00:00:00+00:00	0.95	-0.172078	51.482567	Danvers Street, West Chelsea
2015-10-29 00:00:00+00:00	0.8	-0.09308	51.515735	The Guildhall, Guildhall
2015-10-29 00:00:00+00:00	0.8	-0.09968	51.493372	Walworth Road, Elephant & Castle
2015-10-29 00:00:00+00:00	0.95	-0.139625	51.490962	Gloucester Street, Pimlico
2015-10-29 00:00:00+00:00	0.9	-0.081608	51.497855	Bermondsey Street, Bermondsey
2015-10-29 00:00:00+00:00	0.9	-0.200667	51.460951	Northfields, Wandsworth
2015-10-29 00:00:00+00:00	0.75	-0.194757	51.493343	Nevern Place, Earl's Court
2015-10-29 00:00:00+00:00	0.95	-0.158456	51.502953	Albert Gate, Hyde Park
2015-10-29 00:00:00+00:00	0.9	-0.092754	51.505974	Park Street, Bankside
2015-10-29 00:00:00+00:00	0.95	-0.135635	51.488226	St. George's Square, Pimlico
2015-10-29 00:00:00+00:00	0.8	-0.084985	51.509301	Lower Thames Street, Monument
2015-10-29 00:00:00+00:00	0.75	-0.204815	51.484386	Normand Park, West Kensington
2015-10-29 00:00:00+00:00	0.75	-0.068856	51.521776	Buxton Street 1, Shoreditch
2015-10-29 00:00:00+00:00	0.85	-0.174593	51.520205	Paddington Green, Paddington
2015-10-29 00:00:00+00:00	1.0	-0.226606	51.488108	Crisp Road, Hammersmith
2015-10-29 00:00:00+00:00	0.8	-0.116279	51.524564	Wren Street, Holborn
2015-10-29 00:00:00+00:00	0.85	-0.123258	51.476149	Teversham Lane, Stockwell
2015-10-29 00:00:00+00:00	0.8	-0.129386	51.534123	Pancras Road, King's Cross
2015-10-29 00:00:00+00:00	0.9	-0.081118	51.521743	Appold Street, Liverpool Street
2015-10-29 00:00:00+00:00	0.9	-0.182435	51.478169	Upcerne Road, West Chelsea
2015-10-29 00:00:00+00:00	1.0	-0.17021	51.474535	Orbel Street, Battersea
2015-10-29 00:00:00+00:00	1.0	-0.175116	51.523353	Frampton Street, Paddington
2015-10-29 00:00:00+00:00	0.9	-0.215804	51.494347	Brook Green South, Brook Green
2015-10-29 00:00:00+00:00	0.95	-0.202608	51.51632	All Saints Church, Portobello
2015-10-29 00:00:00+00:00	0.9	-0.09644	51.507385	New Globe Walk, Bankside
2015-10-29 00:00:00+00:00	0.9	-0.099981	51.532661	Graham Street, Angel
2015-10-29 00:00:00+00:00	0.75	-0.18697	51.51616	Bishop's Bridge Road West, Bayswater
2015-10-29 00:00:00+00:00	0.75	-0.175488	51.51678	Winsland Street, Paddington
2015-10-29 00:00:00+00:00	0.9	-0.129361	51.488365	Vauxhall Bridge , Pimlico
2015-10-29 00:00:00+00:00	0.85	-0.117069	51.53136	Calshot Street , King's Cross
2015-10-29 00:00:00+00:00	0.8	-0.114329	51.531768	Rodney Street, Angel
2015-10-29 00:00:00+00:00	0.8	-0.147624	51.49395	Eccleston Place, Victoria
2015-10-29 00:00:00+00:00	0.75	-0.075578	51.52127	Commercial Street, Shoreditch
2015-10-29 00:00:00+00:00	0.95	-0.104778	51.504044	Southwark Station 2, Southwark
2015-10-29 00:00:00+00:00	1.0	-0.107987	51.517428	New Fetter Lane, Holborn
2015-10-29 00:00:00+00:00	0.8	-0.129925	51.493072	Vincent Street, Pimlico
2015-10-29 00:00:00+00:00	0.9	-0.17977	51.51348	Devonshire Terrace, Bayswater
2015-10-29 00:00:00+00:00	0.75	-0.205991	51.501391	Abbotsbury Road, Holland Park
2015-10-29 00:00:00+00:00	0.85	-0.111257	51.514274	Chancery Lane, Holborn
2015-10-29 00:00:00+00:00	0.65	-0.084439	51.524696	Leonard Circus , Shoreditch
2015-10-29 00:00:00+00:00	0.75	-0.199004	51.506584	Campden Hill Road, Notting Hill
2015-10-29 00:00:00+00:00	0.95	-0.113001	51.50486	Waterloo Road, South Bank
2015-10-29 00:00:00+00:00	0.7	-0.058641	51.515256	Philpot Street, Whitechapel
